Bernhard “Buddy” Baker	Animal Man
Arthur Curry	Aquaman
Cassandra Cain	Batgirl (Second), Black Bat
Barbra Gordon	Batgirl, Oracle (Formally)
Bruce Wayne	Batman
Terry McGinnis	Batman (Future)
Kate Kane	Batwoman
Garfield Mark “Gar” Logan	Beast Boy
Dinah Laurel Lance	Black Canary
Dan Garret	Blue Beetle (First)
Jaime Reyes	Blue Beetle (Second)
Ted Kord	Blue Beetle (Second)
Michael Jon Carter	Booster Gold
Selina Kyle	Catwoman
Victor Stone	Cyborg
Ralph Dibny	Elongated Man
Oliver Queen	Green Arrow (First and Current)
Connor Hawke	Green Arrow (Second)
Hal Jordan	Green Lantern (Second and Current)
John Stewart	Green Lantern (Third and Current)
Harleen Quinzel	Harley Quinn
Shiera Sanders Hall	Hawkgirl
Carter Hall	Hawkman
Katar Hol	Hawkman
Helena Bertinelli	Huntress
Wally West	Kid Flash, The Flash (Third)
J’onn J’onzz	Martian Manhunter
Dick Grayson	Nightwing, First Robin
Kara Zor-L	Power Girl
Rachel Roth	Raven
Tim Drake	Red Robin
Damian Wayne	Robin (Current)
Jason Todd	Robin (Second), Red Hood
Roy Harper	Speedy, Red Arrow, Aresenal
Stephanie Brown	Spolier, Robin (Fourth), Batgirl (Third)
Koriand’r	Starfire
Ted Knight	Starman
Kara Zor-El	Supergirl
Clark Kent (Krytonian Name: Kal-El)	Superman
Alec Holland	Swamp Thing
Ray Palmer	The Atom
Barry Allen	The Flash (Current)
Mari McCabe	Vixen
Donna Troy	Wonder Girl, Darkstar, Troia
Diana Prince	Wonder Woman
